StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod,Weight,Probability
"[15, 3]",[34],[74],"[15, 1]",[False],[0],"[0.007134019999999927, 0.0009600149999999998]",[0.5426252100000001],[0.00021935462951658616],"[0.0033773999999999384, 0.0076443000000000014]",[0.0],2,0.06666666666666667
"[1, 13]",[0],[35],"[2, 14]",[False],[0],"[0.0009293699999999936, 0.0053204699999999956]",[-0.21728165],[0.003153038024902381],"[0.005336999999999998, 0.009502560000000004]",[0.0],1,0.125
"[2, 14]",[0],[36],"[4, 16]",[False],[0],"[0.006713840000000044, 0.005811844999999993]",[-0.3191320000000001],[0.0069239521026611475],"[0.0029358999999999705, 0.0025401249999999764]",[0.0],3,0.375
"[4, 16]",[0],[34],"[6, 17]",[False],[0],"[0.0029358999999999705, 0.0025401249999999764]",[-0.08669462250000004],[0.005089244842529334],"[0.0015246050000000087, 0.0034575500000000123]",[0.0],3,0.3333333333333333
"[10, 18]",[34],[29],"[12, 17]",[False],[0],"[0.0009495000000000232, 0.002406229999999999]",[0.21145628],[0.007418355941772455],"[0.0018659499999999982, 0.007369879999999976]",[0.0],1,0.16666666666666666
"[12, 17]",[34],[33],"[14, 16]",[False],[0],"[0.0029786250000000056, 0.007828240000000023]",[0.34731976500000006],[0.003532285690307788],"[0.0029813400000000094, 0.009395194999999995]",[0.0],2,0.2222222222222222
"[14, 16]",[34],[35],"[16, 15]",[False],[0],"[0.0029813400000000094, 0.009395194999999995]",[0.52410813],[0.009237718582153357],"[0.001399089999999964, 0.006542589999999978]",[0.0],2,0.3333333333333333
"[16, 15]",[34],[41],"[17, 14]",[False],[0],"[0.0010900700000000263, 0.005487704999999973]",[0.36530959250000006],[0.0013728523254394002],"[0.00749431750000005, 0.006604885000000015]",[0.0],3,0.5
"[17, 14]",[34],[39],"[19, 12]",[False],[0],"[0.006177049999999998, 0.001215850000000001]",[0.58337686],[0.008395061492919914],"[7.100000000035897e-06, 0.006881530000000018]",[0.0],1,0.125
"[19, 12]",[34],[49],"[20, 11]",[False],[0],"[0.0028071762500000413, 0.006805354374999982]",[0.3991654021875001],[0.00755720496177679],"[0.004577115625000024, 0.007076236250000005]",[0.0],6,0.6666666666666666
"[20, 11]",[34],[54],"[21, 9]",[False],[0],"[0.0055800962500000065, 0.0017409812500000076]",[0.5477260625000001],[0.009888789653778065],"[0.004741715000000051, 0.008297776249999994]",[0.0],4,0.36363636363636365
"[21, 9]",[34],[51],"[21, 6]",[False],[0],"[3.10500000000203e-05, 0.0008803199999999987]",[0.88810133],[0.004302539825439487],"[0.005401070000000023, 0.008927810000000005]",[0.0],1,0.043478260869565216
"[21, 6]",[34],[64],"[21, 5]",[False],[0],"[0.005488708230590849, 0.0036448450781249968]",[0.18993414027771],[0.006552495798096136],"[0.007431946900024454, 0.009146447132828918]",[0.0],15,0.3191489361702128
"[21, 3]",[34],[64],"[21, 1]",[False],[0],"[0.006301640000000068, 0.005412805000000005]",[0.7900218700000001],[0.009999189376831086],"[0.002927660000000042, 0.005912255]",[0.0],2,0.6666666666666666
"[21, 1]",[34],[68],"[20, 0]",[False],[0],"[0.002927660000000042, 0.005912255]",[0.6520452150000001],[0.0021014404296876635],"[0.006617584999999988, -0.0001389200000000007]",[0.0],2,0.6666666666666666
"[13, 0]",[34],[79],"[10, 0]",[False],[0],"[0.0022513121875000226, -0.09900161046874999]",[0.24076156562500006],[0.12608239263296128],"[0.00810336468750009, -0.10477068625000001]",[0.0],7,0.061946902654867256
"[10, 10]",[34],[56],"[10, 10]",[False],[0],"[0.0004178700000000181, 0.00936801]",[0.01630333],[0.0008438491821290278],"[0.009908300000000012, 0.009210539999999993]",[0.0],1,0.038461538461538464
"[16, 8]",[34],[60],"[16, 7]",[False],[0],"[0.002799042499999932, 0.0031105574999999996]",[0.32497404125000007],[0.00092905759811409],"[0.007676762500000017, 0.005236278750000009]",[0.0],4,0.25
"[15, 0]",[34],[73],"[15, 0]",[False],[0],"[0.008938524999999994, 0.0038065500000000058]",[0.45831060500000004],[0.0072695922851564124],"[0.000949854999999963, -0.007401239999999996]",[0.0],2,0.028169014084507043
"[14, 13]",[34],[42],"[15, 11]",[False],[0],"[0.004671550000000035, 0.002459869999999977]",[0.61739138],[0.008243303298950098],"[0.00705531499999997, 0.007275164999999998]",[0.0],2,0.06896551724137931
"[16, 10]",[34],[50],"[17, 9]",[False],[0],"[0.006288435000000009, 0.004634744999999999]",[0.3934362700000001],[0.008165264129638573],"[0.004518694999999998, 0.005048889999999995]",[0.0],2,0.2
"[18, 8]",[34],[52],"[18, 6]",[False],[0],"[0.0024142000000000226, 0.0016002400000000028]",[0.60024754],[0.009964351654052857],"[0.00668319999999999, 0.0068440299999999975]",[0.0],1,0.08333333333333333
"[3, 0]",[0],[68],"[2, 2]",[False],[0],"[0.004448172499999984, 0.0018559875000000031]",[-0.60077944875],[0.006041784286499187],"[0.007984607500000036, 0.005095943750000002]",[0.0],4,0.019417475728155338
"[8, 13]",[0],[47],"[9, 14]",[False],[0],"[0.005272667500000008, 0.00435150750000002]",[-0.09192437875000004],[0.003105990886688245],"[0.009358140000000037, 0.005399633750000032]",[0.0],4,0.17391304347826086
"[17, 12]",[34],[49],"[18, 11]",[False],[0],"[0.004758588359375019, 0.003058951474609363]",[0.2720458513769532],[0.004392590131610622],"[0.006098641953125029, 0.006507851416015618]",[0.0],11,0.4782608695652174
"[19, 10]",[34],[55],"[19, 8]",[False],[0],"[0.002237160000000014, 0.001787850000000011]",[0.67788877],[0.008914470672607455],"[0.009632670000000008, 0.00509068]",[0.0],1,0.058823529411764705
"[19, 8]",[34],[63],"[20, 6]",[False],[0],"[0.009474892499999997, 0.003257780000000002]",[0.5801282125000001],[0.0038900089263916773],"[0.004035927500000043, 0.009004615000000004]",[0.0],3,0.07317073170731707
"[8, 0]",[34],[79],"[5, 0]",[False],[0],"[0.004029333593750031, -0.11050605335937501]",[0.04830811148437502],[0.12222416236996668],"[0.00829726664062501, -0.111463780390625]",[0.0],8,0.04
"[0, 1]",[0],[60],"[0, 4]",[False],[0],"[-0.03220472999999996, 0.009227588750000007]",[-0.5470612437500001],[0.005685877799987603],"[-0.035932232499999994, 0.0016541712499999958]",[0.0],4,0.03773584905660377
"[0, 5]",[0],[51],"[0, 8]",[False],[0],"[-0.03689485734374992, 0.007511791250000005]",[-0.6669968984375],[0.007765469104051846],"[-0.03438566734374998, 0.002023780156250002]",[0.0],8,0.08080808080808081
"[13, 2]",[34],[71],"[12, 1]",[False],[0],"[0.0019720074999999854, 0.0038972050000000043]",[0.3128064825000001],[0.003979077339172526],"[0.0073918199999999865, 0.006327015]",[0.0],3,0.06976744186046512
"[2, 14]",[3],[39],"[3, 14]",[False],[0],"[0.004127400000000021, 0.0009097200000000132]",[0.007812159999999983],[0.0005318260192871457],"[0.009089220000000035, 0.008714349999999992]",[0.0],1,0.125
