StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod
"[0, 4]",[27],[67],"[0, 4]",[False],[0],"[0.0048777700000000035, 0.001431120000000001]",[0.009138139999999973],[0.002241401672363223],"[0.0036012000000000266, 0.003202690000000001]",[0.0]
"[0, 4]",[14],[66],"[0, 4]",[False],[0],"[0.0036012000000000266, 0.003202690000000001]",[0.0007044399999999833],[0.0017766380310059345],"[0.0027927400000000158, 0.00843514]",[0.0]
"[0, 4]",[25],[65],"[0, 5]",[False],[0],"[0.0027927400000000158, 0.00843514]",[0.005766769999999971],[0.0070650100708008565],"[0.0026679800000000142, 0.000790830000000001]",[0.0]
"[0, 5]",[16],[64],"[0, 5]",[False],[0],"[0.0026679800000000142, 0.000790830000000001]",[0.004780449999999964],[0.00780397415161127],"[0.003041470000000046, 0.0054214000000000016]",[0.0]
"[0, 5]",[22],[64],"[0, 5]",[False],[0],"[0.003041470000000046, 0.0054214000000000016]",[0.008099149999999968],[0.0017089462280274192],"[0.004071440000000037, 0.008468870000000005]",[0.0]
"[0, 5]",[16],[63],"[0, 6]",[False],[0],"[0.004071440000000037, 0.008468870000000005]",[0.0008543399999999812],[0.0022516441345216045],"[0.005678680000000047, 0.0031975399999999952]",[0.0]
"[0, 6]",[21],[62],"[0, 6]",[False],[0],"[0.005678680000000047, 0.0031975399999999952]",[0.0037460999999999623],[0.005438976287841828],"[0.00797196, 0.006603949999999994]",[0.0]
"[0, 6]",[26],[62],"[1, 6]",[False],[0],"[0.00797196, 0.006603949999999994]",[0.008604959999999998],[0.0013691711425781565],"[0.0007371400000000337, 0.00863885]",[0.0]
"[1, 6]",[28],[61],"[1, 7]",[False],[0],"[0.0007371400000000337, 0.00863885]",[0.0025162399999999682],[0.007995071411132844],"[0.003809300000000024, 0.0003258999999999953]",[0.0]
"[1, 7]",[13],[60],"[1, 7]",[False],[0],"[0.003809300000000024, 0.0003258999999999953]",[0.0020444799999999614],[0.007097244262695389],"[0.007352000000000034, 0.005774720000000002]",[0.0]
"[1, 7]",[25],[60],"[2, 7]",[False],[0],"[0.007352000000000034, 0.005774720000000002]",[0.004551629999999968],[0.002324867248535277],"[0.0016032500000000179, 0.008160930000000002]",[0.0]
"[2, 7]",[24],[59],"[2, 8]",[False],[0],"[0.0016032500000000179, 0.008160930000000002]",[0.00916844999999998],[0.007283267974853637],"[0.006243400000000027, 0.0006818499999999977]",[0.0]
"[2, 8]",[13],[58],"[3, 8]",[False],[0],"[0.006243400000000027, 0.0006818499999999977]",[0.005951389999999975],[0.006580848693847733],"[0.001437900000000018, 0.006032920000000011]",[0.0]
"[3, 8]",[28],[58],"[3, 8]",[False],[0],"[0.001437900000000018, 0.006032920000000011]",[0.009978919999999968],[0.0035797309875487716],"[0.00728326000000004, 0.007533520000000002]",[0.0]
"[3, 8]",[9],[57],"[4, 9]",[False],[0],"[0.00728326000000004, 0.007533520000000002]",[0.007238139999999971],[0.0009416389465331469],"[0.0036256000000000413, 0.0038525699999999944]",[0.0]
"[4, 9]",[29],[56],"[5, 9]",[False],[0],"[0.0036256000000000413, 0.0038525699999999944]",[0.007182909999999961],[0.008300819396972733],"[0.0007124300000000295, 0.005172930000000001]",[0.0]
"[5, 9]",[15],[55],"[5, 10]",[False],[0],"[0.0007124300000000295, 0.005172930000000001]",[0.004559059999999967],[0.008528804779052856],"[0.008200740000000028, 5.907999999999261e-05]",[0.0]
"[5, 10]",[15],[54],"[6, 10]",[False],[0],"[0.008200740000000028, 5.907999999999261e-05]",[0.006801809999999983],[0.008868846893310491],"[0.006467720000000007, 0.004888960000000001]",[0.0]
"[6, 10]",[25],[54],"[7, 10]",[False],[0],"[0.006467720000000007, 0.004888960000000001]",[0.007406979999999947],[0.004239234924316351],"[0.005373430000000018, 0.007203770000000002]",[0.0]
"[7, 10]",[9],[53],"[8, 11]",[False],[0],"[0.005373430000000018, 0.007203770000000002]",[0.006903709999999974],[0.001584358215332109],"[0.0048635000000000345, 0.0035311600000000037]",[0.0]
"[8, 11]",[11],[51],"[9, 11]",[False],[0],"[0.0048635000000000345, 0.0035311600000000037]",[0.003519349999999989],[0.009760322570800726],"[0.005343800000000032, 0.009443229999999995]",[0.0]
"[9, 11]",[19],[51],"[10, 12]",[False],[0],"[0.005343800000000032, 0.009443229999999995]",[0.006093409999999964],[0.0020650291442871876],"[0.006659900000000028, 0.003290820000000007]",[0.0]
"[10, 12]",[22],[50],"[11, 12]",[False],[0],"[0.006659900000000028, 0.003290820000000007]",[0.003951739999999978],[0.005762672424316485],"[0.008554550000000034, 0.006441999999999996]",[0.0]
"[11, 12]",[23],[50],"[13, 12]",[False],[0],"[0.008554550000000034, 0.006441999999999996]",[0.006083929999999993],[6.685256958015653e-05],"[0.0009371200000000152, 0.009290029999999998]",[0.0]
"[13, 12]",[12],[48],"[14, 13]",[False],[0],"[0.0009371200000000152, 0.009290029999999998]",[0.00798384999999998],[0.008965988159179678],"[0.0039196000000000335, 0.004840420000000014]",[0.0]
"[14, 13]",[16],[47],"[15, 13]",[False],[0],"[0.0039196000000000335, 0.004840420000000014]",[0.0011121099999999717],[0.009521656036376966],"[0.007745920000000036, 0.009562650000000008]",[0.0]
"[15, 13]",[14],[46],"[17, 14]",[False],[0],"[0.007745920000000036, 0.009562650000000008]",[0.008291259999999977],[0.009436168670654287],"[0.002344830000000001, 0.004605209999999981]",[0.0]
"[17, 14]",[4],[45],"[18, 15]",[False],[0],"[0.002344830000000001, 0.004605209999999981]",[0.004224799999999952],[0.00414743423461922],"[0.007889420000000025, 0.002249740000000019]",[0.0]
