StateID,ActID,RewardID,NextStateID,Done,CostID,StateIdMod,ActIdMod,RewardIdMod,NextStateIdMod,CostIdMod
"[69, 39]",[101],[95],"[69, 39]",[False],[0],"[0.006485659999999992, 0.0064619799999999835]",[0.0011508500000001354],[0.005149269104003864],"[0.007637999999999966, 0.00868332]",[0.0]
"[69, 39]",[128],[96],"[69, 39]",[False],[0],"[0.007637999999999966, 0.00868332]",[0.008300439999999965],[0.00456422805786133],"[0.008776330000000042, 0.003975750000000005]",[0.0]
"[69, 39]",[98],[95],"[69, 39]",[False],[0],"[0.008776330000000042, 0.003975750000000005]",[0.0034206000000000687],[0.008735275268554823],"[0.009567880000000016, 0.006890180000000029]",[0.0]
"[69, 39]",[112],[96],"[70, 39]",[False],[0],"[0.009567880000000016, 0.006890180000000029]",[0.007848780000000083],[0.00012773513793945535],"[0.0006331900000000022, 0.0061939999999999825]",[0.0]
"[70, 39]",[118],[96],"[70, 39]",[False],[0],"[0.0006331900000000022, 0.0061939999999999825]",[0.0018681900000000716],[0.004221191406250047],"[0.001515040000000075, 0.004147290000000031]",[0.0]
"[70, 39]",[114],[96],"[70, 39]",[False],[0],"[0.001515040000000075, 0.004147290000000031]",[0.005606639999999986],[0.00650152206420912],"[0.002117819999999989, 0.0030071700000000087]",[0.0]
"[70, 39]",[100],[96],"[70, 39]",[False],[0],"[0.002117819999999989, 0.0030071700000000087]",[0.009569730000000144],[0.0019799613952636297],"[0.002719469999999998, 0.005267860000000018]",[0.0]
"[70, 39]",[119],[96],"[70, 39]",[False],[0],"[0.002719469999999998, 0.005267860000000018]",[0.007797820000000099],[0.006869831085205169],"[0.0034319899999999924, 0.002823000000000025]",[0.0]
"[70, 39]",[102],[96],"[70, 39]",[False],[0],"[0.0034319899999999924, 0.002823000000000025]",[0.003891120000000022],[0.0030643844604492654],"[0.003985120000000005, 0.00472569000000001]",[0.0]
"[70, 39]",[122],[96],"[70, 39]",[False],[0],"[0.003985120000000005, 0.00472569000000001]",[0.0012432699999999665],[0.00912660598754883],"[0.0045796200000000585, 0.0016945600000000168]",[0.0]
"[70, 39]",[105],[96],"[70, 39]",[False],[0],"[0.0045796200000000585, 0.0016945600000000168]",[0.0007130900000001054],[0.006662216186523573],"[0.004916440000000074, 0.0029267100000000042]",[0.0]
"[70, 39]",[105],[96],"[70, 39]",[False],[0],"[0.004916440000000074, 0.0029267100000000042]",[0.002215770000000084],[0.00427297592163095],"[0.00544846999999998, 0.004121419999999992]",[0.0]
"[70, 39]",[116],[96],"[70, 39]",[False],[0],"[0.00544846999999998, 0.004121419999999992]",[0.004195850000000008],[0.007482852935791151],"[0.006022290000000038, 0.0025165100000000325]",[0.0]
"[70, 39]",[103],[96],"[70, 39]",[False],[0],"[0.006022290000000038, 0.0025165100000000325]",[0.0012975200000000572],[0.004047718048095839],"[0.0065164700000000485, 0.004234079999999979]",[0.0]
"[70, 39]",[115],[96],"[70, 39]",[False],[0],"[0.0065164700000000485, 0.004234079999999979]",[0.0047304300000000615],[0.0067841911315918435],"[0.0071209799999999955, 0.0028657899999999844]",[0.0]
"[70, 39]",[108],[96],"[70, 39]",[False],[0],"[0.0071209799999999955, 0.0028657899999999844]",[0.003591270000000084],[0.005963745117187502],"[0.007601389999999982, 0.0032759900000000116]",[0.0]
"[70, 39]",[127],[97],"[70, 38]",[False],[0],"[0.007601389999999982, 0.0032759900000000116]",[0.0020836299999999943],[0.004567985534667926],"[0.007896139999999992, 0.008973969999999994]",[0.0]
"[70, 38]",[97],[96],"[70, 39]",[False],[0],"[0.007896139999999992, 0.008973969999999994]",[0.00716972000000011],[0.008426418304443406],"[0.007895660000000023, 0.002044680000000026]",[0.0]
"[70, 39]",[119],[97],"[70, 38]",[False],[0],"[0.007895660000000023, 0.002044680000000026]",[0.00024207999999995532],[0.002938537597656341],"[0.008102490000000014, 0.009788579999999988]",[0.0]
"[70, 38]",[112],[97],"[70, 38]",[False],[0],"[0.008102490000000014, 0.009788579999999988]",[0.002315539999999977],[0.004054336547851653],"[0.008038950000000041, 0.009230679999999988]",[0.0]
"[70, 38]",[110],[97],"[70, 38]",[False],[0],"[0.008038950000000041, 0.009230679999999988]",[0.00016208999999995852],[0.0040624427795411065],"[0.007915630000000003, 0.009226689999999978]",[0.0]
"[43, 31]",[0],[110],"[42, 33]",[False],[0],"[0.009711239999999994, 0.0023734100000000116]",[0.0074067100000001496],[6.591949208711867e-17],"[0.008624300000000005, 0.007373389999999988]",[0.0]
"[42, 33]",[18],[105],"[42, 36]",[False],[0],"[0.008624300000000005, 0.007373389999999988]",[0.0020033500000001155],[0.0041001319885252355],"[0.001428000000000016, 0.0003232600000000266]",[0.0]
"[42, 36]",[10],[100],"[41, 38]",[False],[0],"[0.001428000000000016, 0.0003232600000000266]",[0.007440010000000139],[0.004472160339355359],"[0.008003170000000026, 0.00513721]",[0.0]
"[41, 38]",[7],[95],"[41, 41]",[False],[0],"[0.008003170000000026, 0.00513721]",[0.006384240000000102],[0.004472160339355427],"[0.008558440000000023, 0.0001371900000000318]",[0.0]
"[41, 41]",[7],[90],"[42, 43]",[False],[0],"[0.008558440000000023, 0.0001371900000000318]",[0.005640980000000189],[0.0044721603393556054],"[0.0031137300000000125, 0.005137170000000009]",[0.0]
"[42, 43]",[24],[86],"[43, 45]",[False],[0],"[0.0031137300000000125, 0.005137170000000009]",[0.004946370000000075],[0.0017195129394531293],"[0.001475780000000022, 0.006513660000000034]",[0.0]
"[43, 45]",[11],[81],"[44, 48]",[False],[0],"[0.001475780000000022, 0.006513660000000034]",[0.007818980000000126],[0.0026104354858398713],"[0.003427530000000005, 0.0010680299999999698]",[0.0]
"[44, 48]",[32],[77],"[45, 50]",[False],[0],"[0.003427530000000005, 0.0010680299999999698]",[0.003184200000000137],[0.0037696647644043253],"[0.00903417000000001, 0.0004885300000000321]",[0.0]
"[45, 50]",[58],[74],"[47, 51]",[False],[0],"[0.00903417000000001, 0.0004885300000000321]",[0.006446950000000121],[0.008091983795166045],"[0.007397100000000009, 0.00332737000000005]",[0.0]
"[47, 51]",[71],[72],"[49, 52]",[False],[0],"[0.007397100000000009, 0.00332737000000005]",[0.007404250000000062],[0.008962230682373076],"[0.007639560000000026, 0.0028922499999999365]",[0.0]
"[49, 52]",[110],[72],"[51, 52]",[False],[0],"[0.007639560000000026, 0.0028922499999999365]",[0.000497270000000171],[0.008987026214599639],"[0.008901669999999971, 0.002879850000000024]",[0.0]
"[51, 52]",[125],[73],"[53, 51]",[False],[0],"[0.008901669999999971, 0.002879850000000024]",[0.006593970000000145],[0.0068167877197265695],"[0.009953670000000041, 0.008965019999999988]",[0.0]
