State_Center,Act_Center,Reward_Center,NextState_Center,Done,Cost_Center,Weight,Probability
"[-0.495, 0.09499999999999997]",[-0.8850000000000001],[0.905],"[-0.47500000000000003, 0.11499999999999999]",False,[50.0],1,1.0
"[-0.455, 0.135]",[-0.775],[0.825],"[-0.435, 0.15500000000000003]",False,[50.0],1,0.5
"[-0.435, 0.15500000000000003]",[-0.4750000000000001],[0.805],"[-0.405, 0.16500000000000004]",False,[50.0],1,1.0
"[-0.345, -0.005000000000000009]",[-0.19500000000000006],[1.195],"[-0.355, 0.005]",False,[50.0],1,0.009708737864077669
"[-0.345, 0.02500000000000002]",[-0.3350000000000001],[1.125],"[-0.33499999999999996, 0.03499999999999997]",False,[50.0],1,0.020833333333333332
"[-0.33499999999999996, 0.03499999999999997]",[-0.29500000000000004],[1.115],"[-0.33499999999999996, 0.04499999999999998]",False,[50.0],1,0.05
"[-0.28500000000000003, 0.03499999999999997]",[0.275],[1.135],"[-0.28500000000000003, 0.03499999999999997]",False,[50.0],1,0.0625
"[-0.275, -0.025000000000000026]",[0.475],[1.2550000000000001],"[-0.28500000000000003, -0.03499999999999998]",False,[50.0],2,0.25
"[-0.28500000000000003, -0.03499999999999998]",[0.6049999999999999],[1.305],"[-0.28500000000000003, -0.055]",False,[50.0],1,0.09090909090909091
"[-0.355, -0.09500000000000003]",[0.11499999999999988],[1.405],"[-0.365, -0.10499999999999998]",False,[50.0],1,0.07692307692307693
"[-0.385, -0.10499999999999998]",[-0.09500000000000008],[1.405],"[-0.395, -0.10499999999999998]",False,[50.0],1,0.09090909090909091
"[-0.385, 0.07500000000000001]",[-0.28500000000000003],[0.945],"[-0.365, 0.08500000000000002]",False,[50.0],2,0.05405405405405406
"[-0.33499999999999996, 0.09499999999999997]",[0.04500000000000003],[0.965],"[-0.32499999999999996, 0.09499999999999997]",False,[50.0],4,0.17391304347826086
"[-0.29500000000000004, -0.08500000000000002]",[0.43499999999999994],[1.375],"[-0.31500000000000006, -0.09500000000000003]",False,[50.0],1,0.125
"[-0.435, -0.10499999999999998]",[-0.6750000000000002],[1.355],"[-0.455, -0.08500000000000002]",False,[50.0],1,0.16666666666666666
"[-0.405, 0.135]",[-0.5050000000000001],[0.885],"[-0.385, 0.15500000000000003]",False,[50.0],1,0.16666666666666666
"[-0.385, 0.15500000000000003]",[0.12499999999999989],[0.885],"[-0.365, 0.14500000000000002]",False,[50.0],1,0.5
"[-0.365, 0.14500000000000002]",[0.3849999999999999],[0.905],"[-0.33499999999999996, 0.135]",False,[50.0],1,0.5
"[-0.455, 0.054999999999999986]",[-0.8350000000000001],[0.955],"[-0.445, 0.08500000000000002]",False,[50.0],1,0.05
"[-0.445, 0.08500000000000002]",[-0.795],[0.915],"[-0.435, 0.10499999999999998]",False,[50.0],1,0.125
"[-0.375, 0.14500000000000002]",[0.01500000000000001],[0.825],"[-0.345, 0.14500000000000002]",False,[50.0],1,0.2
"[-0.345, 0.14500000000000002]",[0.34499999999999986],[0.845],"[-0.32499999999999996, 0.135]",False,[50.0],1,0.25
"[-0.32499999999999996, 0.135]",[0.5650000000000001],[0.875],"[-0.30500000000000005, 0.11499999999999999]",False,[50.0],1,0.14285714285714285
"[-0.275, 0.08500000000000002]",[0.6749999999999999],[0.985],"[-0.265, 0.065]",False,[50.0],1,0.16666666666666666
"[-0.255, 0.04499999999999998]",[0.765],[1.065],"[-0.245, 0.02500000000000002]",False,[50.0],1,0.043478260869565216
"[-0.245, 0.02500000000000002]",[0.8249999999999998],[1.105],"[-0.245, 0.005]",False,[50.0],1,0.037037037037037035
"[-0.245, 0.005]",[0.6249999999999999],[1.135],"[-0.245, -0.015000000000000017]",False,[50.0],1,0.0032679738562091504
"[-0.245, -0.03499999999999998]",[0.6249999999999999],[1.205],"[-0.255, -0.04499999999999999]",False,[50.0],1,0.3333333333333333
"[-0.265, -0.065]",[0.705],[1.275],"[-0.275, -0.08500000000000002]",False,[50.0],1,0.3333333333333333
"[-0.275, -0.08500000000000002]",[0.525],[1.305],"[-0.28500000000000003, -0.09500000000000003]",False,[50.0],1,0.5
"[-0.28500000000000003, -0.09500000000000003]",[0.5749999999999998],[1.325],"[-0.30500000000000005, -0.10499999999999998]",False,[50.0],1,0.2
"[-0.30500000000000005, -0.10499999999999998]",[0.525],[1.355],"[-0.31500000000000006, -0.125]",False,[50.0],1,0.3333333333333333
"[-0.33499999999999996, -0.125]",[0.265],[1.385],"[-0.365, -0.135]",False,[50.0],1,0.25
"[-0.465, -0.10499999999999998]",[-0.555],[1.285],"[-0.47500000000000003, -0.08500000000000002]",False,[50.0],1,0.09090909090909091
"[-0.505, -0.04499999999999999]",[-0.8850000000000001],[1.155],"[-0.505, -0.025000000000000026]",False,[50.0],1,0.14285714285714285
"[-0.505, -0.025000000000000026]",[-0.7350000000000001],[1.125],"[-0.515, -0.005000000000000009]",False,[50.0],1,0.16666666666666666
"[-0.515, 0.01500000000000001]",[-0.6950000000000001],[1.045],"[-0.505, 0.03499999999999997]",False,[50.0],1,0.25
"[-0.505, 0.03499999999999997]",[-0.805],[1.005],"[-0.505, 0.054999999999999986]",False,[50.0],1,0.25
"[-0.465, 0.11499999999999999]",[-0.5650000000000001],[0.865],"[-0.445, 0.125]",False,[50.0],1,0.3333333333333333
"[-0.425, 0.135]",[-0.2450000000000001],[0.825],"[-0.395, 0.14500000000000002]",False,[50.0],1,0.25
"[-0.395, 0.14500000000000002]",[-0.09500000000000008],[0.815],"[-0.375, 0.14500000000000002]",False,[50.0],1,0.5
"[-0.33499999999999996, -0.04499999999999999]",[0.06499999999999984],[1.2550000000000001],"[-0.33499999999999996, -0.055]",False,[50.0],1,0.043478260869565216
