State,Act,Reward,NextState,Done,Cost,Weight,Probability
"[-0.42727286000000003, 0.006656049999999998]",[-0.93379553],[1.1102151870727537],"[-0.4249628200000001, 0.030000929999999995]",False,[0.0],1,0.03225806451612903
"[-0.414882735625, 0.053361080000000005]",[-0.893251975],[0.9727139532566071],"[-0.4051539925, 0.07569239937499997]",False,[0.0],5,0.19230769230769232
"[-0.408107015, 0.07621466999999996]",[-0.78309192],[0.9222510814666748],"[-0.39486854, 0.09579193500000005]",False,[0.0],3,0.13043478260869565
"[-0.39520782, 0.09889007]",[-0.9186147],[0.9265063285827636],"[-0.3781606, 0.12185538000000001]",False,[0.0],1,0.047619047619047616
"[-0.37588272375, 0.125195263125]",[-0.2972771525],[0.8385347098112108],"[-0.3554551024999999, 0.13262723312500002]",False,[0.0],5,0.25
"[-0.35773461999999995, 0.13927674]",[-0.79718122],[0.8518047332763673],"[-0.33438742, 0.15920615]",False,[0.0],1,0.16666666666666666
"[-0.16996741, 0.1538006]",[0.48255121000000006],[0.8867435455322266],"[-0.14600271000000004, 0.14173675000000002]",False,[0.0],1,0.16666666666666666
"[-0.14600271000000004, 0.14173675000000002]",[0.72424011],[0.9229555130004882],"[-0.12429053, 0.12363076]",False,[0.0],1,1.0
"[-0.12429053, 0.12363076]",[0.6755685200000001],[0.9567339897155762],"[-0.10541033999999996, 0.10674154999999999]",False,[0.0],1,1.0
"[-0.10541033999999996, 0.10674154999999999]",[0.8094733000000001],[0.9972076416015625],"[-0.08941102000000002, 0.0865047]",False,[0.0],1,1.0
"[-0.08941102000000002, 0.0865047]",[0.8288437100000001],[1.038649845123291],"[-0.07667536000000003, 0.06578374]",False,[0.0],1,1.0
"[-0.07667536000000003, 0.06578374]",[0.88393203],[1.082846450805664],"[-0.06732856999999998, 0.04368531999999999]",False,[0.0],1,1.0
"[-0.06732856999999998, 0.04368531999999999]",[0.8305753],[1.1243752479553224],"[-0.06144631, 0.022920970000000006]",False,[0.0],1,1.0
"[-0.06144631, 0.022920970000000006]",[0.64981326],[1.1568658828735352],"[-0.058645429999999985, 0.0066756000000000055]",False,[0.0],1,1.0
"[-0.058645429999999985, 0.0066756000000000055]",[0.62566491],[1.1881490707397464],"[-0.05841148, -0.008965970000000004]",False,[0.0],1,1.0
"[-0.05841148, -0.008965970000000004]",[0.61694253],[1.2189962387084963],"[-0.060668649999999984, -0.02438956]",False,[0.0],1,1.0
"[-0.060668649999999984, -0.02438956]",[0.543363],[1.2461644172668458],"[-0.06529546000000003, -0.03797358]",False,[0.0],1,1.0
"[-0.06529546000000003, -0.03797358]",[0.49374039],[1.2708514213562012],"[-0.07202959000000003, -0.05031711]",False,[0.0],1,1.0
"[-0.09355110000000008, -0.06467313]",[0.4249969550000001],[1.2679450511932375],"[-0.104465485, -0.07529804]",False,[0.0],2,0.5
"[-0.15867287000000005, -0.089507105]",[-0.12386433499999999],[1.2901699542999268],"[-0.17282885499999992, -0.08641046]",False,[0.0],2,0.5
"[-0.19249988826171877, -0.0600419848046875]",[0.5902485089648439],[1.2162756569683553],"[-0.2028935943359375, -0.07479820595703125]",False,[0.0],10,0.9090909090909091
